fecha,agente,cat,componente,de_hrs,a_hrs,causa
2005-08-31,VHE,G,VHE01,00:00,17:57,Limitaciones en el suministro de gas
2005-08-31,VHE,G,VHE02,00:00,06:38,Limitaciones en el suministro de gas
2005-08-31,VHE,G,VHE03,00:25,17:43,Limitaciones en el suministro de gas
2005-08-31,VHE,G,VHE04,00:00,06:14,Limitaciones en el suministro de gas
2005-08-31,COBEE,G,KEN01,00:00,12:26,Limitaciones en el suministro de gas
2005-08-31,COBEE,G,KEN02,00:00,07:11,Limitaciones en el suministro de gas
2005-08-31,VHE,G,VHE01,22:45,24:00,Limitaciones en el suministro de gas
2005-08-31,VHE,G,VHE02,23:24,24:00,Limitaciones en el suministro de gas
2005-08-31,VHE,G,VHE04,23:59,24:00,Limitaciones en el suministro de gas
2005-08-31,COBEE,G,KEN01,20:54,23:44,Limitaciones en el suministro de gas
2005-08-30,VHE,G,VHE01,00:00,18:15,Limitaciones en el suministro de gas
2005-08-30,VHE,G,VHE02,00:00,15:04,Limitaciones en el suministro de gas
2005-08-30,VHE,G,VHE03,00:00,06:32,Limitaciones en el suministro de gas
2005-08-30,VHE,G,VHE04,00:00,07:19,Limitaciones en el suministro de gas
2005-08-30,COBEE,G,KEN01,00:00,15:06,Limitaciones en el suministro de gas
2005-08-30,COBEE,G,KEN02,00:00,07:08,Limitaciones en el suministro de gas
2005-08-30,VHE,G,VHE01,22:47,24:00,Limitaciones en el suministro de gas
2005-08-30,VHE,G,VHE02,23:32,24:00,Limitaciones en el suministro de gas
2005-08-30,VHE,G,VHE04,23:45,24:00,Limitaciones en el suministro de gas
2005-08-30,COBEE,G,KEN01,23:57,24:00,Limitaciones en el suministro de gas
2005-08-30,COBEE,G,KEN02,23:51,24:00,Limitaciones en el suministro de gas
2005-08-29,VHE,G,VHE01,00:00,05:00,Limitaciones en el suministro de gas
2005-08-29,VHE,G,VHE01,05:36,18:41,Limitaciones en el suministro de gas
2005-08-29,VHE,G,VHE01,22:46,24:00,Limitaciones en el suministro de gas
2005-08-29,VHE,G,VHE02,00:00,05:00,Limitaciones en el suministro de gas
2005-08-29,VHE,G,VHE02,05:36,13:21,Limitaciones en el suministro de gas
2005-08-29,VHE,G,VHE02,23:12,24:00,Limitaciones en el suministro de gas
2005-08-29,VHE,G,VHE03,00:00,05:00,Limitaciones en el suministro de gas
2005-08-29,VHE,G,VHE03,05:36,06:25,Limitaciones en el suministro de gas
2005-08-29,VHE,G,VHE03,23:43,24:00,Limitaciones en el suministro de gas
2005-08-29,VHE,G,VHE04,00:00,05:00,Limitaciones en el suministro de gas
2005-08-29,VHE,G,VHE04,05:36,10:24,Limitaciones en el suministro de gas
2005-08-29,VHE,G,VHE04,23:24,24:00,Limitaciones en el suministro de gas
2005-08-29,COBEE,G,KEN01,00:16,07:03,Limitaciones en el suministro de gas
2005-08-29,COBEE,G,KEN01,22:28,24:00,Limitaciones en el suministro de gas
2005-08-29,COBEE,G,KEN02,00:00,15:39,Limitaciones en el suministro de gas
2005-08-29,COBEE,G,KEN02,23:54,24:00,Limitaciones en el suministro de gas
2005-08-28,VHE,G,VHE01,00:00,02:00,Limitaciones en el suministro de gas
2005-08-28,VHE,G,VHE01,05:25,18:27,Limitaciones en el suministro de gas
2005-08-28,VHE,G,VHE01,22:32,24:00,Limitaciones en el suministro de gas
2005-08-28,VHE,G,VHE02,00:00,02:00,Limitaciones en el suministro de gas
2005-08-28,VHE,G,VHE02,05:25,18:21,Limitaciones en el suministro de gas
2005-08-28,VHE,G,VHE02,22:46,24:00,Limitaciones en el suministro de gas
2005-08-28,VHE,G,VHE03,00:00,02:00,Limitaciones en el suministro de gas
2005-08-28,VHE,G,VHE03,05:25,08:30,Limitaciones en el suministro de gas
